tag,version
2016.1,2016.1
2016.4,2016.4
2016.7,2016.7
2016.10,2016.10
2017.2,2017.2
2017.6,2017.6
2018.2,2018.2
2018.8.100,2018.8.100
2018.10.100,2018.10.100
2018.12.103,2018.12.103
2019.1.101,2019.1.101
2019.1.102,2019.1.102
2019.1.103,2019.1.103
2019.1.105,2019.1.105
2019.1.106,2019.1.106
2019.8.100,2019.8.100
2019.8.101,2019.8.101
2019.11.100,2019.11.100
v2.0.0-pre.5,2.0.0-pre.5
v2.0.0-pre.6,2.0.0-pre.6
v2.0.0-pre.7,2.0.0-pre.7
v2.0.0-pre.8,2.0.0-pre.8
v2.0.0-pre.9,2.0.0-pre.9
v2.0.0-pre.10,2.0.0-pre.10
v2.0.0-pre.11,2.0.0-pre.11
v2.0.0-pre.13,2.0.0-pre.13
v2.0.0,2.0.0
v2.1.0-pre.0,2.1.0-pre.0
v2.1.0-pre.1,2.1.0-pre.1
v2.1.0,2.1.0
v2.1.1,2.1.1
v2.1.2-pre.0,2.1.2-pre.0
v2.1.2-pre.3,2.1.2-pre.3
v2.1.2-pre.4,2.1.2-pre.4
v2.1.2-pre.5,2.1.2-pre.5
v2.1.2,2.1.2
v2.1.3,2.1.3
v2.1.4,2.1.4
